Open Time,Open,High,Low,Close,Volume,Close Time,Quote Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,zero
1710763200000,0.23000000,5.32000000,0.23000000,3.62000000,32145886.80000000,1710766799999,128445973.66280000,372158,15333904.20000000,61528605.12900000,0
1710766800000,3.62100000,3.66200000,3.33300000,3.39300000,7499670.90000000,1710770399999,26142139.19030000,87814,3275741.90000000,11438433.27630000,0
1710770400000,3.39600000,3.53000000,3.25000000,3.40600000,5409211.70000000,1710773999999,18315771.88070000,75264,2602577.40000000,8831145.35240000,0
1710774000000,3.40700000,3.55600000,3.30000000,3.48400000,3645546.50000000,1710777599999,12479823.66430000,53819,1884769.80000000,6460451.04410000,0
1710777600000,3.48400000,3.50600000,3.25100000,3.28200000,2557553.30000000,1710781199999,8594969.36710000,35885,1316164.10000000,4425022.80230000,0
1710781200000,3.28200000,3.31000000,3.01000000,3.19600000,4635079.30000000,1710784799999,14485812.52840000,48399,2105097.50000000,6582643.53950000,0
1710784800000,3.19300000,3.25000000,3.04700000,3.14400000,2266755.00000000,1710788399999,7080523.96350000,31096,1084641.80000000,3386364.35680000,0
1710788400000,3.14400000,3.25000000,3.10000000,3.12100000,1608311.70000000,1710791999999,5117082.70530000,25403,785211.90000000,2497810.46930000,0
1710792000000,3.12100000,3.18900000,3.09000000,3.17200000,1083182.70000000,1710795599999,3400523.78360000,18454,470624.50000000,1477492.91350000,0
1710795600000,3.17300000,3.44000000,3.15100000,3.26000000,2900369.00000000,1710799199999,9588588.03310000,38549,1466341.30000000,4849561.21120000,0
1710799200000,3.26100000,3.38000000,3.21200000,3.31300000,1459984.00000000,1710802799999,4836362.49280000,22260,627197.40000000,2077942.04480000,0
1710802800000,3.31000000,3.31200000,3.10400000,3.12000000,946702.10000000,1710806399999,3035538.91990000,12852,453275.70000000,1454676.73960000,0
1710806400000,3.11900000,3.19200000,3.00000000,3.03200000,1418229.60000000,1710809999999,4360668.50740000,17786,465185.60000000,1441095.06030000,0
1710810000000,3.03200000,3.04500000,2.81000000,2.88900000,2485755.30000000,1710813599999,7279065.27840000,24721,956948.50000000,2798154.63930000,0
1710813600000,2.88900000,3.09900000,2.88800000,3.04600000,1963399.80000000,1710817199999,5885762.08930000,21013,1058730.40000000,3171293.40130000,0
1710817200000,3.04800000,3.18500000,2.95600000,3.14100000,1819392.10000000,1710820799999,5587098.59040000,22085,914379.10000000,2811551.83450000,0
1710820800000,3.14200000,3.48600000,3.10800000,3.41400000,3981761.50000000,1710824399999,13186983.27290000,50654,2015709.50000000,6689821.81040000,0
1710824400000,3.41400000,3.41800000,3.15700000,3.25600000,1998081.00000000,1710827999999,6565161.18160000,26112,941965.60000000,3085639.51830000,0
1710828000000,3.25800000,3.26200000,3.05800000,3.13000000,1802500.30000000,1710831599999,5681720.85230000,26582,926187.20000000,2918245.15010000,0
1710831600000,3.12900000,3.29900000,3.00000000,3.26300000,1724411.80000000,1710835199999,5367157.87950000,23927,877810.20000000,2731292.28960000,0
1710835200000,3.26400000,3.27200000,3.04600000,3.10300000,1409870.50000000,1710838799999,4426402.44190000,19976,615306.60000000,1931311.59320000,0
1710838800000,3.10300000,3.45000000,3.00100000,3.37000000,3026313.80000000,1710842399999,9771092.31270000,31236,1480362.10000000,4811174.67210000,0
1710842400000,3.37000000,3.40000000,3.20000000,3.29500000,1812147.70000000,1710845999999,5981403.62540000,28384,891307.00000000,2946186.08050000,0
1710846000000,3.29500000,3.33400000,3.20000000,3.22500000,1656399.20000000,1710849599999,5403342.91440000,20414,848889.60000000,2769266.96040000,0
1710849600000,3.22700000,3.23300000,3.08100000,3.08200000,1951289.00000000,1710853199999,6138407.13290000,23360,806708.00000000,2540879.06220000,0
1710853200000,3.08300000,3.12300000,2.96400000,3.02500000,1549883.80000000,1710856799999,4707915.51610000,16837,700948.50000000,2133413.88710000,0
1710856800000,3.02300000,3.07300000,2.93000000,3.04200000,1001944.00000000,1710860399999,2993982.41090000,13097,446922.00000000,1336540.24120000,0
1710860400000,3.04100000,3.12500000,3.00000000,3.07400000,916752.00000000,1710863999999,2813170.50020000,11869,465063.90000000,1427956.91670000,0
1710864000000,3.07000000,3.12000000,2.99400000,3.03100000,996079.10000000,1710867599999,3033588.23300000,12353,409629.70000000,1246266.87630000,0
1710867600000,3.03200000,3.10000000,3.01600000,3.07600000,778142.10000000,1710871199999,2378245.06320000,10058,316304.70000000,967541.06970000,0
1710871200000,3.07700000,3.08000000,3.02000000,3.06300000,421833.40000000,1710874799999,1285354.32620000,5332,211616.70000000,645256.09350000,0
1710874800000,3.06400000,3.11400000,3.04300000,3.07500000,409966.10000000,1710878399999,1263109.51140000,5822,181746.90000000,560347.44690000,0
1710878400000,3.07400000,3.07400000,2.95200000,3.02700000,477516.90000000,1710881999999,1437567.53320000,7307,202741.40000000,610674.27590000,0
1710882000000,3.02700000,3.04000000,2.96500000,3.00300000,467609.60000000,1710885599999,1404733.12610000,5256,201451.60000000,605145.74140000,0
1710885600000,3.00300000,3.00700000,2.82600000,2.87400000,808079.10000000,1710889199999,2341951.76770000,9912,348245.00000000,1010093.21040000,0
1710889200000,2.87400000,3.07100000,2.84400000,3.02100000,1684170.00000000,1710892799999,5011387.85200000,16534,677027.40000000,2015892.39890000,0
1710892800000,3.02100000,3.04800000,2.92800000,3.03000000,679798.40000000,1710896399999,2033909.79530000,9716,305305.00000000,913462.46530000,0
1710896400000,3.03000000,3.03200000,2.89600000,2.97700000,635248.30000000,1710899999999,1870616.10990000,8092,276405.60000000,813079.25420000,0
1710900000000,2.98000000,3.09200000,2.93900000,3.08200000,699325.60000000,1710903599999,2100016.02590000,7979,391741.70000000,1176227.85460000,0
1710903600000,3.08200000,3.23900000,3.01600000,3.03300000,1816332.90000000,1710907199999,5730304.98390000,19295,938694.60000000,2962324.05110000,0
1710907200000,3.03400000,3.11200000,2.93600000,3.01400000,1166151.60000000,1710910799999,3520993.08770000,12708,478809.80000000,1448518.09170000,0
1710910800000,3.01400000,3.05200000,2.92400000,2.99900000,863758.30000000,1710914399999,2585395.29610000,10744,420195.60000000,1259516.20770000,0
