STT,address,point,tier
5,0xb62da1fae55cb7891de83c5cb1656fa6674f3a295c78bb444925a7029432e5e1,3095000,Business
6,0xd25406dadfe2200f2337c34b053a27cc8af75029d33a53c508c9315511f5274f,4062500,Business
7,0x094712e831584a02a922e02cc6c1e2d17003072b462fef95d72c98568edaec37,4062500,Business
8,0x15154bacc7a2783be10abb2c2837743d9b994da9e23950de82b55c5ab64bd1b8,4062500,Business
9,0x602613e05451811e2969a289bc4b221a9c20c242f1f626df212d54d949ee0ffa,3095000,Business
10,0xd032ad654103351f4c03e792ed77325fa485c1178ed78262336e3a00ab657741,4062500,Business
11,0x4c44b32b31f372e721f355c4a1bc77f037ade5c3e4477a305f0428829651a7b1,2522500,Business
12,0xc4e19bc201defc18341519fd620c44dbcb8a87e38857011a194daa852125db9a,2550000,Business
13,0xd2e2f82195cd3535c6958b96bafe1ebf4c7ceed41145c758d601fe71aeee9629,2662500,Business
14,0x85efe68a76b8249c8f8d3bcbdba178ab7720b1923f78f03c50ecd052d8b6c229,2662500,Business
15,0x722e9cacf577933b0a05dc937427d2aa9951ba413b96b701196a2b1ee46fb91f,3095000,Business
16,0xe23856060191e072198dddf28eeef43d7fb046dc6bc62c4ce8690ddfa74b9702,2442500,Premium
17,0x6d9f735594b5e93568e11a2edee93bc84486eddc8a1c646706dc3ea712654ac1,2662500,Business
18,0x5e00c537bf46aedacdd00c9acf2012b85842825dc87bad56c1771bcc11f46de2,2822500,Business
19,0xef86689dd406e76e908f2ffe7c6cdb053fb21ad00ecd699554307ba2a9ea668d,2555000,Business
20,0x7e0ca61654b6df1e2f6d75b026400eb0d1f8aa9e037d3b114cfb8cf3769de357,2555000,Business
21,0x862e669ddf122c88e9d4f1a24d1602cea2bed4930b1e02131c359b8b10e5d9ab,2585000,Business
22,0x7ab781b203322146990577f780c6e50d5df25d8f03351439cbdcc484dea54a36,4062500,Business
23,0xe92eb0b5f98ec61bc88dd3f52ff2addb461bd73ba52e9b63bb570688a69c59b8,2287500,Premium
24,0x6abff49c62013de142c0052f7bc614944a036267055608533cf47faf2d1b96cf,2657500,Business
25,0x6a047c19686f260d45da2ab96ba8d380436f7bb5c2ea568da8661e5528b3cb47,4062500,Business
26,0xbd67c5a8e15b3d0da8d543cde90d379d88bfedafb27cae54ffd49485f2c4082d,3095000,Business
27,0x835448288638888db1a1c2762322d4060b4e70e7bd691f28a351f5a459a271c3,2465000,Premium
28,0x33debaa690cf12a73b693065046e898ab3d652a018744feca7844489ccd1f074,2477500,Premium
29,0xb482c7fbc7f0b84d818daaeec2675733ff0ecb69a335ffd83f61dc91b0a47bdc,4032500,Business
30,0x03f47d722e54e4b200d00bc566cd881b430868ffe7b07875ae2439f7e8e5d747,4047500,Business
31,0x755a075b31c59f27494bc87641b3a291275d5e6be8fe4fe4b7fcadb9c7eb0497,1640000,Plus
